Bin	Frequency
-1150	1
-1160	2
-1200	3
-1340	2
-1350	2
-1390	1
-1450	1
-1600	1
-1760	1
-1890	1
-1940	1
-1950	1
-1970	1
-1980	11
-2010	2
-2040	10
-2050	7
-2120	1
-2130	1
-2140	1
-2190	1
-2200	4
-2220	5
-2250	5
-2280	3
-2290	3
-2300	4
-2310	3
-2320	5
-2330	1
-2340	6
-2350	1
-2360	1
-2370	1
-2520	1
-2540	8
-2580	2
-2720	1
-300	1
-3050	1
-3080	1
-3120	1
-3140	3
-3160	6
-3170	2
-3180	12
-3190	4
-3200	13
-3210	2
-3220	11
-3230	20
-3240	6
-3250	14
-3260	13
-3270	17
-3280	2
-3460	1
-3470	2
-3680	1
-4030	14
-4170	27
-4180	1
-4240	4
-4840	1
-5080	1
-5150	1
-5220	1
-5260	1
-5280	4
-5570	1
-5580	1
-5600	1
-6170	2
-6310	1
-6320	2
-6490	1
-6580	1
-7020	3
-7040	1
-7130	1
-7360	2
-7610	1
-7810	1
-7890	1
-7900	1
-7920	2
-7930	2
-7980	3
-8120	1
-8150	1
-8270	1
-8350	1
-8420	5
-8550	2
-8630	1
-8660	1
-8830	3
-8840	4
-8860	1
-8900	3
-9320	3
-9350	1
-9390	3
-9710	1
-9720	2
-9770	2
-9970	1
10	28
100	964360
1000	25722
1010	27111
1020	26859
1030	27429
1040	27560
1050	28688
1060	28511
1070	28927
1080	28694
1090	28700
110	1981074
1100	28107
1110	28478
1120	28558
1130	28512
1140	32515
1150	32865
1160	32109
1170	31513
1180	30598
1190	30771
120	3822257
1200	30460
1210	30083
1220	30093
1230	29361
1240	30192
1250	30131
1260	30042
1270	29449
1280	28323
1290	28061
130	6848943
1300	27371
1310	27023
1320	26362
1330	25497
1340	25465
1350	25255
1360	24543
1370	24422
1380	24563
1390	24534
140	11331892
1400	24577
1410	24485
1420	23910
1430	24087
1440	24113
1450	24252
1460	23385
1470	23617
1480	24344
1490	23897
150	17352926
1500	2352
160	24578040
170	32255322
180	39236221
190	44591679
20	3735
200	47831216
210	48753555
220	47612540
230	44842620
240	40892940
250	36132619
260	31038441
270	25895504
280	21020965
290	16634610
30	26183
300	12789581
310	9626318
320	7067550
330	5093422
340	3606574
350	2521823
360	1749000
370	1203782
380	833184
390	578223
40	50924
400	406347
410	294151
420	215853
430	165402
440	128665
450	103414
460	84874
470	72271
480	64056
490	56476
50	73820
500	51146
510	47434
520	44602
530	42484
540	40026
550	38996
560	39036
570	38073
580	36707
590	36576
60	98727
600	37008
610	36139
620	34691
630	33104
640	32392
650	31626
660	31999
670	31773
680	30571
690	30311
70	140609
700	30214
710	30537
720	30114
730	29452
740	30161
750	29536
760	29629
770	29812
780	29192
790	29114
80	235755
800	28959
810	28629
820	28734
830	28023
840	28218
850	28066
860	28546
870	27673
880	26941
890	27280
90	457660
900	27700
910	27753
920	27501
930	27193
940	26805
950	26989
960	26817
970	26117
980	26147
990	27014
