Bin	Frequency
-1150	1
-1200	2
-1340	1
-1940	1
-1980	4
-2050	5
-2070	1
-2200	1
-2320	2
-2340	3
-2400	1
-2800	1
-3400	1
-3420	1
-360	2
-3830	3
-390	1
-3930	7
-4030	3
-4040	1
-430	3
-4870	2
-4940	2
-6170	2
-6360	1
-6470	2
-6700	4
-690	1
-720	2
-7360	1
-750	2
-770	1
-780	3
-790	3
-810	6
-820	2
-830	1
-8550	1
-8700	3
-8830	3
-9000	1
-9870	3
10	6
100	280859
1000	6568
1010	6510
1020	6546
1030	6954
1040	6896
1050	7192
1060	7097
1070	7135
1080	7076
1090	7117
110	559514
1100	7052
1110	7046
1120	6808
1130	7106
1140	7931
1150	8115
1160	7873
1170	7926
1180	7577
1190	7615
120	1067046
1200	7361
1210	7560
1220	7374
1230	7009
1240	7583
1250	7400
1260	7398
1270	7146
1280	6866
1290	6951
130	1883446
1300	6542
1310	6484
1320	6453
1330	6304
1340	6191
1350	6190
1360	6252
1370	5866
1380	6323
1390	5981
140	3097632
1400	6066
1410	6028
1420	5805
1430	5939
1440	5931
1450	5921
1460	6043
1470	6082
1480	5827
1490	5598
150	4711582
1500	578
160	6621415
170	8626582
180	10415719
190	11715858
20	1395
200	12488774
210	12675029
220	12291677
230	11513860
240	10446848
250	9163193
260	7818797
270	6450746
280	5180677
290	4049651
30	8785
300	3083249
310	2288079
320	1666779
330	1182447
340	833258
350	581505
360	398931
370	273959
380	190742
390	133776
40	17033
400	95420
410	68865
420	51544
430	39914
440	31549
450	25375
460	21102
470	18337
480	16079
490	14027
50	25383
500	12650
510	11905
520	11413
530	10577
540	10329
550	9836
560	9525
570	9490
580	9244
590	8982
60	33865
600	9305
610	8691
620	8444
630	8131
640	8268
650	7917
660	7944
670	7831
680	7604
690	7605
70	47509
700	7507
710	7378
720	7498
730	7201
740	7544
750	7315
760	7453
770	7473
780	7139
790	6931
80	75426
800	7021
810	6724
820	7011
830	6926
840	7042
850	7022
860	6967
870	6979
880	6782
890	6676
90	139993
900	6883
910	6889
920	6860
930	6898
940	6746
950	6561
960	6630
970	6671
980	6505
990	6546
